supplier_id,model_id,price
1,6878,50.0
1,27540,59.0
1,27541,60.0
1,27543,60.0
1,27545,60.0
1,27547,60.0
1,27542,60.0
1,28433,90.0
1,25049,140.0
1,27548,235.0
1,6880,51.0
1,6392,61.0
1,6398,61.0
1,6395,61.0
1,6397,61.0
1,6411,95.0
1,6409,95.0
1,6413,95.0
1,6408,95.0
1,6412,95.0
1,11100,100.0
1,11101,100.0
1,11103,100.0
1,11105,100.0
1,6418,115.0
1,11094,145.0
1,11095,145.0
1,11098,145.0
1,11097,145.0
1,11096,145.0
1,6424,235.0
1,6426,235.0
1,27787,330.0
1,27788,325.0
1,6885,380.0
1,6427,415.0
1,23526,420.0
1,6387,350.0
1,27486,465.0
1,6389,545.0
1,23530,730.0
1,11109,195.0
1,11107,215.0
1,11108,215.0
1,27549,340.0
1,6879,105.0
1,10617,90.0
1,10618,165.0
1,14119,43.0
1,14120,43.0
1,14121,43.0
1,14122,45.0
1,14123,45.0
1,14124,45.0
1,7139,50.0
1,7140,50.0
1,7138,50.0
1,7137,50.0
1,24379,120.0
1,24380,120.0
1,7147,58.0
1,7148,57.0
1,7149,57.0
1,7150,58.0
1,16617,80.0
1,16618,80.0
1,16619,80.0
1,27794,115.0
1,14521,135.0
1,14522,135.0
1,7289,70.0
1,10624,72.0
1,10625,72.0
1,7288,72.0
1,10622,105.0
1,10623,105.0
1,10621,105.0
1,13246,137.0
1,3027,175.0
1,3029,175.0
1,3031,170.0
1,3028,175.0
1,3030,175.0
1,24819,280.0
1,24818,280.0
1,3038,380.0
1,3039,370.0
1,3037,370.0
1,3035,480.0
1,27505,40.0
1,27500,55.0
1,24274,55.0
1,1914,34.0
1,27506,40.0
1,1911,35.0
1,1912,30.0
1,1915,30.0
1,1910,30.0
1,27499,50.0
1,1909,35.0
1,27508,80.0
1,24273,24.0
1,24272,60.0
1,27504,35.0
1,27501,40.0
1,27507,45.0
1,24276,33.0
1,24271,36.0
1,24275,34.0
1,27503,195.0
1,27502,235.0
1,2683,220.0
1,13004,240.0
1,13006,255.0
1,13005,355.0
1,24510,200.0
1,24542,200.0
1,24524,105.0
1,24526,105.0
1,24525,105.0
1,24523,105.0
1,24563,80.0
1,24561,80.0
1,24562,80.0
1,24560,80.0
1,24559,80.0
1,24558,80.0
1,24564,80.0
1,24566,80.0
1,24557,80.0
1,24534,165.0
1,24530,100.0
1,24581,165.0
1,24541,210.0
1,24575,210.0
1,24519,115.0
1,24517,115.0
1,24518,115.0
1,24514,115.0
1,24520,115.0
1,24521,115.0
1,24550,85.0
1,24549,85.0
1,24551,85.0
1,24552,85.0
1,24553,85.0
1,24546,85.0
1,24548,85.0
1,24554,85.0
1,24555,85.0
1,24579,165.0
1,24578,165.0
1,24577,165.0
1,24580,165.0
1,2233,130.0
1,2235,85.0
